country,gdp_per_capita,gdp_for_year,population,suicides_no,suicides_rate_per_100k
Armenia,3788.0,10546135160.0,2400033,67,2.7916282817777924
Austria,46976.0,390799991147.0,7484629,1201,16.046219525376607
Croatia,12905.0,51338524831.0,3567043,683,19.147512379301286
Cyprus,25098.0,20153871681.0,711344,36,5.060842574056996
Czech Republic,19505.0,195305084919.0,8929942,1318,14.759334383134853
Grenada,10838.0,1056188593.0,79012,0,0.0
Hungary,13448.0,125816640421.0,8390370,1761,20.98834735536097
Iceland,64708.0,20304098101.0,268773,40,14.882447269629019
Lithuania,15742.0,42773029835.0,2445296,822,33.61556228775576
Mauritius,10570.0,12232463656.0,992432,98,9.874731971560772
Mongolia,4145.0,11183458131.0,2167589,423,19.514769635756593
Netherlands,48108.0,777227541581.0,14239554,1886,13.244796852485688
Qatar,62484.0,152451923077.0,2213121,68,3.0725839210779706
Romania,10020.0,187805922349.0,16644905,1953,11.733320196180152
Sweden,55594.0,514459972806.0,8125852,1130,13.906234078592618
Thailand,6713.0,411755164833.0,53442001,4117,7.703678610387362
